1601943840000,411757.00000000,411757.00000000,411757.00000000,411757.00000000,0.04651000,1601943899999,19150.81807000,1,0.04651000,19150.81807000,0
1601943900000,411757.00000000,411757.00000000,411757.00000000,411757.00000000,0.00000000,1601943959999,0.00000000,0,0.00000000,0.00000000,0
1601943960000,411757.00000000,411757.00000000,411757.00000000,411757.00000000,0.00000000,1601944019999,0.00000000,0,0.00000000,0.00000000,0
1601944020000,411757.00000000,411757.00000000,411757.00000000,411757.00000000,0.00000000,1601944079999,0.00000000,0,0.00000000,0.00000000,0
1601944080000,410512.00000000,410512.00000000,410512.00000000,410512.00000000,0.03337000,1601944139999,13698.78544000,1,0.00000000,0.00000000,0
1601944140000,410512.00000000,410512.00000000,410512.00000000,410512.00000000,0.00000000,1601944199999,0.00000000,0,0.00000000,0.00000000,0
1601944200000,411267.00000000,411267.00000000,411267.00000000,411267.00000000,0.08000000,1601944259999,32901.36000000,1,0.08000000,32901.36000000,0
1601944260000,411267.00000000,411267.00000000,411267.00000000,411267.00000000,0.00000000,1601944319999,0.00000000,0,0.00000000,0.00000000,0
1601944320000,410363.00000000,410363.00000000,410363.00000000,410363.00000000,0.03005000,1601944379999,12331.40815000,1,0.00000000,0.00000000,0
1601944380000,410363.00000000,410363.00000000,410363.00000000,410363.00000000,0.00000000,1601944439999,0.00000000,0,0.00000000,0.00000000,0
1601944440000,410363.00000000,410363.00000000,410363.00000000,410363.00000000,0.00000000,1601944499999,0.00000000,0,0.00000000,0.00000000,0
1601944500000,410363.00000000,410363.00000000,410363.00000000,410363.00000000,0.00000000,1601944559999,0.00000000,0,0.00000000,0.00000000,0
